date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2016-01-12,2016-01-12 23:50:00+00:00,435.4855509077,393070,3771,3644.2491245298,3588.0088338963,3500.3948889548
2016-01-13,2016-01-13 23:50:00+00:00,432.6577823363,393218,3770,3651.3855430289,3588.0088338963,3500.3948889548
2016-01-14,2016-01-14 23:50:00+00:00,430.0250259843,393351,3769,3658.6070753323,3588.0088338963,3500.3948889548
2016-01-15,2016-01-15 23:50:00+00:00,362.4305504508,393473,3768,3665.9115533347,3634.5511544059,3500.3948889548
2016-01-16,2016-01-16 23:50:00+00:00,388.1881730586,393615,3767,3674.8032674047,3634.5511544059,3500.3948889548
2016-01-17,2016-01-17 23:50:00+00:00,379.1487486399,393764,3766,3683.0834093994,3634.5511544059,3500.3948889548
2016-01-18,2016-01-18 23:50:00+00:00,384.9289182488,393939,3765,3691.6276749133,3634.5511544059,3500.3948889548
2016-01-19,2016-01-19 23:50:00+00:00,376.7663108392,394071,3764,3700.0721892127,3634.5511544059,3500.3948889548
2016-01-20,2016-01-20 23:50:00+00:00,419.2252501718,394225,3763,3708.7656645891,3634.5511544059,3500.3948889548
2016-01-21,2016-01-21 23:50:00+00:00,409.2680990241,394361,3762,3716.5175114768,3634.5511544059,3500.3948889548
2016-01-22,2016-01-22 23:50:00+00:00,383.2949288145,394537,3761,3724.5200179307,3696.5841603681,3500.3948889548
2016-01-23,2016-01-23 23:50:00+00:00,386.9158595465,394717,3760,3733.1749399131,3696.5841603681,3500.3948889548
2016-01-24,2016-01-24 23:50:00+00:00,402.8010750231,394885,3759,3741.7838744286,3696.5841603681,3500.3948889548
2016-01-25,2016-01-25 23:50:00+00:00,391.1212623043,395050,3758,3750.0557598556,3696.5841603681,3500.3948889548
2016-01-26,2016-01-26 23:50:00+00:00,391.6668140870,395209,3757,3758.6474876720,3696.5841603681,3500.3948889548
2016-01-27,2016-01-27 23:50:00+00:00,394.4466804448,395363,3756,3767.2698246426,3696.5841603681,3500.3948889548
2016-01-28,2016-01-28 23:50:00+00:00,379.7505777032,395510,3755,3775.8681156419,3696.5841603681,3500.3948889548
